채널,상태,예측순번,총수,곡,근거
리믹스,예측,1,12,스타드림 -Eurobeat Remix-,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,2,12,피가로의 결혼 ~Celebrazione Remix~,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,3,12,반야 프로덕션 클래식 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,4,12,반야 프로덕션 클래식 리믹스 2,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,5,12,엠.에스.군 리믹스 파트.6,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,6,12,인피니티 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,7,12,반야-P 기타 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,8,12,반야-P 클래식 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,9,12,반야 클래식 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,10,12,반야 힙합 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,11,12,엑스트라 반야 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
리믹스,예측,12,12,리피토먼트 리믹스,미관측 — 숏컷과 같은 규칙으로 가정
숏컷,확정,1,62,유포리아닉 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,2,62,피닉스 오프닝 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,3,62,쥬핀 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,4,62,그로스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,5,62,네오 카타르시스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,6,62,힘 오브 골든 글로리 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
