시리즈존,존전체곡수,번호,확정도,곡,판독,VOD시각
1st~ZERO,81,1,정확,디그니티 - FULL SONG -,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,2,정확,디그니티,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,3,정확,슬램,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,4,정확,또다른 진심,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,5,정확,비트 오브 더 워 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,6,정확,월광,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,7,정확,위치 닥터,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,8,정확,러브 이즈 어 데인저 존 pt.2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,9,정확,팬텀,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,10,정확,파파 곤잘레스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,11,정확,점프,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,12,정확,러브 이즈 어 데인저 존 2 (Try To B.P.M),재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,13,정확,러브 이즈 어 데인저 존 pt.2 어나더,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,14,정확,제이 봉,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,15,정확,하이 바이,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,16,정확,무혼 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,17,정확,캐논 디,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,18,정확,트림 북 오브 더 워,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,19,정확,반야 클래식 리믹스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,20,정확,반야 힙합 리믹스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,21,정확,캐논 디 - FULL SONG -,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,22,정확,파이널 오디션 3,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,23,정확,태동 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,24,정확,몽키 핑거즈,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,25,정확,블레이징,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,26,정확,펌프 미 아마데우스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,27,정확,엑스트림,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,28,정확,겟 업!,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,29,정확,비,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,30,정확,디 갱,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,31,정확,헬로우,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,32,정확,비트 오브 더 워,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,33,정확,컴 투 미,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,34,정확,닥터 엠,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,35,정확,엠페러,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,36,정확,겟 유어 그루브 온,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,37,정확,러브 이즈 어 데인저 존,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,38,정확,마리아,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,39,정확,미션 파서블,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,40,정확,마이웨이,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,41,정확,포인트 브레이크,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,42,정확,스트리트 쇼다운,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,43,정확,탑 시티,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,44,정확,윈터,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,45,정확,윌 오 더 위스프,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,46,정확,틸 디 엔드 오브 타임,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,47,정확,오이 오이 오이,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,48,정확,위 윌 밋 어게인,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,49,정확,미스 에스 스토리,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,50,정확,셋 미 업,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,51,정확,댄스 위드 미,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,52,정확,부크,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,53,정확,우편마차,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,54,정확,치킨 윙,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,55,정확,라젠스키 캉캉,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,56,정확,파이널 오디션 에피소드 1,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,57,정확,엑스트라 반야 리믹스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,58,정확,펌프 점프,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,59,정확,엔,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,60,정확,롤링 크리스마스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,61,정확,올 아이 원트 포 크리스마스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,62,정확,베토벤 바이러스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,63,정확,오! 로사,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,64,정확,첫사랑,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,65,정확,사랑가,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,66,정확,무혼,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,67,정확,미스터 라푸스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,68,정확,파이널 오디션 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,69,정확,태동,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,70,정확,터키 행진곡,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,71,정확,님과 함께,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,72,정확,서울구경,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,73,정확,악몽,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,74,정확,눈을 감아,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,75,정확,프리 스타일,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,76,정확,미드나잇 블루,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,77,정확,그녀는 피자를 좋아해,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,78,정확,펌핑업,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,79,정확,파이널 오디션,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,80,정확,엑스트라바간자,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,81,정확,리피토먼트 리믹스,재판독,22:40~23:12 / 26:58~27:35
NX~NXA,43,1,정확,블레이즈 이모션,재판독,13:52
NX~NXA,43,2,정확,캐논 X.1,재판독,13:51
NX~NXA,43,3,정확,젓가락 변주곡,재판독,13:51
NX~NXA,43,4,정확,사람들은 몰랐다네,재판독,13:53
